,Product Name,Category,Product Feel,Product Fit,Product Function,Best Suited Activity,sku_orderInAvailabilityMap,Color,Best Suited Weather,sku_size
76,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",24,Iron Blue,"Spring, Summer, Fall, Winter",XL
77,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",20,Graphite Grey,"Spring, Summer, Fall, Winter",XXXL
78,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",26,Iron Blue,"Spring, Summer, Fall, Winter",XXL
79,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",21,Iron Blue,"Spring, Summer, Fall, Winter",L
80,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",23,Iron Blue,"Spring, Summer, Fall, Winter",S
81,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",22,Iron Blue,"Spring, Summer, Fall, Winter",M
82,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",1,Black,"Spring, Summer, Fall, Winter",XXXL
83,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",3,Black,"Spring, Summer, Fall, Winter",M
84,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",2,Black,"Spring, Summer, Fall, Winter",L
85,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",58,Black,,XS
86,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",59,Black,,XXL
87,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",56,Black,,S
88,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",57,Black,,XL
89,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",55,Black,,M
90,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",54,Black,,L
91,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",28,True Navy,"Spring, Summer, Fall, Winter",L
92,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",53,Raw Linen,,4XL
93,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",44,Raw Linen,,XXXL
94,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",17,Raw Linen,,M
95,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",34,True Navy,"Spring, Summer, Fall, Winter",XXXL
96,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",18,Raw Linen,,L
97,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",20,Raw Linen,,XXL
98,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",15,Raw Linen,,XS
99,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",19,Raw Linen,,XL
100,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",16,Raw Linen,,S
101,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",32,True Navy,"Spring, Summer, Fall, Winter",XS
102,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",33,True Navy,"Spring, Summer, Fall, Winter",XXL
103,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",30,True Navy,"Spring, Summer, Fall, Winter",S
104,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",31,True Navy,"Spring, Summer, Fall, Winter",XL
105,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",29,True Navy,"Spring, Summer, Fall, Winter",M
106,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","On the Move, casual",6,Black/Antique White,,XS
107,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","On the Move, casual",5,Black/Antique White,,XL
108,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","On the Move, casual",7,Black/Antique White,,XXL
109,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","On the Move, casual",8,Black/Antique White,,XXXL
110,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","On the Move, casual",3,Black/Antique White,,M
111,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","On the Move, casual",4,Black/Antique White,,S
112,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","On the Move, casual",1,Black/Antique White,,4XL
113,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","On the Move, casual",2,Black/Antique White,,L
