,Product Name,Category,Product Feel,Product Fit,Product Function,Best Suited Activity,sku_orderInAvailabilityMap,Color,Best Suited Weather,sku_size
111,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",24,Symphony Blue,"Spring, Summer, Warm Weather",XXL
112,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",20,Symphony Blue,"Spring, Summer, Warm Weather",M
113,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",19,Symphony Blue,"Spring, Summer, Warm Weather",L
114,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",26,Black,"Spring, Summer, Warm Weather",M
115,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",25,Black,"Spring, Summer, Warm Weather",L
116,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",34,Gravel Dust True Navy Multi,"Spring, Summer, Warm Weather",XXL
117,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",29,Black,"Spring, Summer, Warm Weather",XXL
118,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",28,Black,"Spring, Summer, Warm Weather",XL
119,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",27,Black,"Spring, Summer, Warm Weather",S
120,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",6,Cyan Blue,"Spring, Summer, Warm Weather",XXL
121,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",11,Carbon Dust,"Spring, Summer, Warm Weather",XS
122,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",10,Carbon Dust,"Spring, Summer, Warm Weather",XL
123,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",12,Carbon Dust,"Spring, Summer, Warm Weather",XXL
124,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",7,Carbon Dust,"Spring, Summer, Warm Weather",L
125,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",9,Carbon Dust,"Spring, Summer, Warm Weather",S
126,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",8,Carbon Dust,"Spring, Summer, Warm Weather",M
127,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",15,Flicker Pace Utility Blue Multi,"Spring, Summer, Warm Weather",S
128,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",14,Flicker Pace Utility Blue Multi,"Spring, Summer, Warm Weather",M
129,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",17,Flicker Pace Utility Blue Multi,"Spring, Summer, Warm Weather",XS
130,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",16,Flicker Pace Utility Blue Multi,"Spring, Summer, Warm Weather",XL
131,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",13,Flicker Pace Utility Blue Multi,"Spring, Summer, Warm Weather",L
132,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",18,Flicker Pace Utility Blue Multi,"Spring, Summer, Warm Weather",XXL
133,"Bowline Short 8"" *Stretch Ripstop",Shorts,"Warpstreme, Cotton, Ripstop",Classic Fit,"Drawstring, Pocketed","On the Move, casual",31,Oasis Blue,"Spring, Summer, Warm Weather",XS
134,"Bowline Short 8"" *Stretch Ripstop",Shorts,"Warpstreme, Cotton, Ripstop",Classic Fit,"Drawstring, Pocketed","On the Move, casual",24,Oasis Blue,"Spring, Summer, Warm Weather",XXL
135,"Bowline Short 8"" *Stretch Ripstop",Shorts,"Warpstreme, Cotton, Ripstop",Classic Fit,"Drawstring, Pocketed","On the Move, casual",20,Oasis Blue,"Spring, Summer, Warm Weather",L
136,"Bowline Short 8"" *Stretch Ripstop",Shorts,"Warpstreme, Cotton, Ripstop",Classic Fit,"Drawstring, Pocketed","On the Move, casual",22,Oasis Blue,"Spring, Summer, Warm Weather",S
137,"Bowline Short 8"" *Stretch Ripstop",Shorts,"Warpstreme, Cotton, Ripstop",Classic Fit,"Drawstring, Pocketed","On the Move, casual",23,Oasis Blue,"Spring, Summer, Warm Weather",XL
138,"Bowline Short 8"" *Stretch Ripstop",Shorts,"Warpstreme, Cotton, Ripstop",Classic Fit,"Drawstring, Pocketed","On the Move, casual",21,Oasis Blue,"Spring, Summer, Warm Weather",M
139,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",11,Sheer Blue,"Spring, Summer, Warm Weather",XS
140,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",12,Sheer Blue,"Spring, Summer, Warm Weather",XXL
141,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",10,Sheer Blue,"Spring, Summer, Warm Weather",XL
142,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",9,Sheer Blue,"Spring, Summer, Warm Weather",S
143,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",8,Sheer Blue,"Spring, Summer, Warm Weather",M
144,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",7,Sheer Blue,"Spring, Summer, Warm Weather",L
145,"Bowline Short 8"" *Stretch Cotton VersaTwill",Shorts,"Cotton, VersaTwill, Twill",Classic Fit,"Anti Stink, Pocketed, Drawstring","On the Move, travel, casual",26,Mojave Tan,"Spring, Summer, Warm Weather",M
